,0
1045,4950
1046,4952
1047,4953
1048,4956
1049,4958
1050,4960
1051,4961
1052,4966
1053,4967
1054,4968
1055,4971
1056,4972
1057,4973
1058,4974
1059,4976
1060,4977
1061,4979
1062,4987
1063,4989
1064,4991
1065,4994
1066,4995
1067,4999
1068,5007
1069,5009
1070,5011
1071,5013
1072,5014
1073,5015
1074,5016
1075,5102
1076,5201
1077,5202
1078,5203
1079,5205
1080,5206
1081,5209
1082,5210
1083,5211
1084,5212
1085,5213
1086,5215
1087,5220
1088,5223
1089,5225
1090,5227
1091,5230
1092,5234
1093,5243
1094,5245
1095,5251
1096,5258
1097,5263
1098,5269
1099,5272
1100,5274
1101,5276
1102,5278
1103,5281
1104,5283
1105,5284
1106,5285
1107,5287
1108,5288
1109,5289
1110,5291
1111,5299
1112,5301
1113,5302
1114,5306
1115,5309
1116,5310
1117,5312
1118,5314
1119,5315
1120,5321
1121,5324
1122,5328
1123,5340
1124,5344
1125,5345
1126,5347
1127,5348
1128,5351
1129,5353
1130,5355
1131,5356
1132,5364
1133,5371
1134,5381
1135,5383
1136,5386
1137,5388
1138,5392
1139,5398
1140,5403
1141,5410
1142,5425
1143,5426
1144,5432
1145,5434
1146,5438
1147,5439
1148,5443
1149,5450
1150,5452
1151,5455
1152,5457
1153,5460
1154,5464
1155,5465
1156,5468
1157,5469
1158,5471
1159,5474
1160,5475
1161,5478
1162,5481
1163,5483
1164,5484
1165,5487
1166,5488
1167,5489
1168,5490
1169,5493
1170,5498
1171,5508
1172,5511
1173,5512
1174,5514
1175,5515
1176,5516
1177,5519
1178,5520
1179,5521
1180,5522
1181,5523
1182,5525
1183,5529
1184,5530
1185,5531
1186,5533
1187,5534
1188,5536
1189,5538
1190,5543
1191,5546
1192,5601
1193,5603
1194,5604
1195,5607
1196,5608
1197,5609
1198,5701
1199,5703
1200,5704
1201,5706
1202,5820
1203,5864
1204,5871
1205,5876
1206,5878
1207,5880
1208,5902
1209,5903
1210,5904
1211,5905
1212,5906
1213,5907
1214,6005
1215,6015
1216,6016
1217,6020
1218,6021
1219,6023
1220,6024
1221,6026
1222,6101
1223,6103
1224,6104
1225,6108
1226,6109
1227,6111
1228,6112
1229,6113
1230,6114
1231,6115
1232,6116
1233,6117
1234,6118
1235,6120
1236,6121
1237,6122
1238,6123
1239,6124
1240,6125
1241,6126
1242,6127
1243,6128
1244,6129
1245,6130
1246,6131
1247,6133
1248,6134
